,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
173,2015-02-12 00:00:00,ATLANTIC LITHIUM LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,179.81
174,1996-05-10 00:00:00,ATLANTIS JAPAN GROWTH FUND LD,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,72.07
175,2021-12-30 00:00:00,ATOME ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,31.69
176,2021-11-23 00:00:00,ATRATO ONSITE ENERGY PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,159
177,2014-08-19 00:00:00,ATTRAQT GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,41.32
178,2021-02-23 00:00:00,AUCTION TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,1198.02
179,2005-12-12 00:00:00,AUDIOBOOM GROUP PLC,Consumer Discretionary,Consumer Products and Services,Jersey,Europe,AIM ,No,104.24
180,2018-03-13 00:00:00,AUGMENTUM FINTECH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,200.73
181,2006-04-25 00:00:00,AUKETT SWANKE GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,2.77
182,2016-09-12 00:00:00,AURA ENERGY LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,58.19
183,2022-04-08 00:00:00,AURA RENEWABLE ACQUISITIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.87
184,1997-03-14 00:00:00,AURORA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,167.01
185,2016-08-22 00:00:00,AUTINS GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,7.64
186,2015-03-24 00:00:00,AUTO TRADER GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,5933.77
187,2006-08-08 00:00:00,AVACTA GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,280.79
188,2018-05-10 00:00:00,AVAST PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,4843.97
189,2010-10-06 00:00:00,AVATION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,49.68
190,1996-12-05 00:00:00,AVEVA GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,7109.38
191,1943-06-17 00:00:00,AVI GLOBAL TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,952.18
192,2018-10-23 00:00:00,AVI JAPAN OPPORTUNITY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,153.96
193,2004-10-14 00:00:00,AVINGTRANS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,147.85
194,1990-06-04 00:00:00,AVIVA PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,11337.2
195,1949-07-12 00:00:00,AVON PROTECTION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,321.34
