symbol,name
FSHR-LN,Fundamentum Supported Housing REIT Plc
FSJ-LN,Fisher (James) & Sons
FSTA-LN,Fuller Smith & Turner plc - Class A
FSV-LN,Fidelity Special Values plc
FTC-LN,Filtronic
FTF-LN,Foresight 4 VCT
FTSV-LN,Foresight Solar & Technology VCT Plc
FTV-LN,Foresight VCT Plc - New
FUL-LN,The Fulham Shore Plc
FUM-LN,Futura Medical
FUTR-LN,Future Plc
FWT-LN,Foresight Solar & Technology VCT Plc (FWT)
FXPO-LN,Ferrexpo Plc
G4M-LN,Gear4Music (Holdings) Plc
GABI-LN,GCP Asset Backed Income Fund Limited
GAL-LN,Galantas Gold Corp
GAMA-LN,Gamma Communications Plc
GATC-LN,Gattaca Plc
GAW-LN,Games Workshop Group plc
GBG-LN,GB Group plc
GBP-LN,Global Petroleum Ltd
GCG-LN,Golden Rock Global Plc
GCL-LN,Geiger Counter Ltd
GCM-LN,GCM Resources Plc
GCP-LN,GCP Infrastructure Investments Limited
GCS-LN,Geiger Counter Ltd - Subscription Shares
GDP-LN,Goldplat Plc
GDR-LN,Genedrive Plc
GDWN-LN,Goodwin
GEM-LN,Gemfields Group Limited
GEMD-LN,Gem Diamonds Ltd
GEN-LN,Genuit Group Plc
GETB-LN,GetBusy Plc
GFHG-LN,Grand Fortune High Grade Ltd
GFIN-LN,Gfinity Plc
GFM-LN,Griffin Mining
GFRD-LN,Galliford Try Holdings Plc
GFS-LN,G4S Plc
GFTU-LN,Grafton Group
GGP-LN,Greatland Gold
GHE-LN,Gresham House
GHH-LN,Gooch & Housego
GHS-LN,Gresham House Strategic Plc
GHT-LN,Gresham Technologies Plc
GILD-LN,Guild Esports Plc
GINV-LN,Global Invacom Group Limited
GKP-LN,Gulf Keystone Petroleum
GLAN-LN,Glantus Holdings Plc
GLE-LN,MJ Gleeson Plc
GLEN-LN,Glencore plc
GLIF-LN,Sancus Lending Group Ltd
GLO-LN,ContourGlobal Plc
GLR-LN,Galileo Resources Plc
GMR-LN,Gaming Realms Plc
GMS-LN,Gulf Marine Services Plc
GNC-LN,Greencore Group Plc
GNF.L-LN,Greenfields Petroleum Corp
GNS-LN,Genus plc
GOCO-LN,GoCo Group Plc
GOG-LN,Go-Ahead Group plc
GOOD-LN,Good Energy Group Plc
GPH-LN,Global Ports Holding Plc
